Id,llm_author,llm_procedure,llm_tfeu_article,llm_primary_obligation,llm_status
32021R0821R(05),EP_Council,ordinary_legislative,207.0,obligation,ok
32008L0114,Council,ordinary_legislative,308.0,obligation,ok
32021R0821R(02),EP_Council,ordinary_legislative,207.0,obligation,ok
32021R0821R(06),EP_Council,ordinary_legislative,207.0,obligation,ok
32021R0821R(01),EP_Council,ordinary_legislative,207.0,obligation,ok
32021R0821R(04),EP_Council,ordinary_legislative,207.0,obligation,ok
32021R0821,EP_Council,ordinary_legislative,207.0,obligation,ok
32021R0821R(03),EP_Council,ordinary_legislative,207.0,obligation,ok
31982D0861,Commission_other,infringement,86.0,prohibition,ok
31985D0066,Commission_other,other,,other,ok
31996D0546,Commission_other,infringement,85.0,prohibition,ok
31997D0486,Commission_other,other,,technical_standard,ok
31997D0487,Commission_other,other,,technical_standard,ok
31997D0524,Commission_other,other,,technical_standard,ok
31999D0497,Commission_other,other,,technical_standard,ok
32001D0079,Council,other,,other,ok
32002L0058R(01),EP_Council,ordinary_legislative,95.0,obligation,ok
32003D0521,Commission_other,infringement,88.0,prohibition,ok
32004D0589,Council,other,133.0,obligation,ok
32004L0113R(01),Council,ordinary_legislative,13.0,prohibition,ok
32005L0044R(01),EP_Council,ordinary_legislative,71.0,technical_standard,ok
32006D1015,Council,other,80.0,obligation,ok
32006L0046R(01),EP_Council,ordinary_legislative,44.0,obligation,ok
32008D0981,Commission_other,other,,other,ok
32008L0096,EP_Council,ordinary_legislative,71.0,obligation,ok
32008R0715,Commission_other,delegated_implementing,,prohibition,ok
32009D0341,Commission_other,infringement,88.0,prohibition,ok
32010D0299,Commission_other,other,,other,ok
32010D0430,Council,other,,other,ok
32010H0572,Commission_other,recommendation,292.0,recommendation,ok
32012D0178,Commission_other,other,108.0,prohibition,ok
32012D0399,Council,other,91.0,technical_standard,ok
32012R0555,Commission_other,delegated_implementing,,technical_standard,ok
32013R0909,Commission_implementing,delegated_implementing,,technical_standard,ok
32014D0341,Commission_other,infringement,108.0,prohibition,ok
32014D0726,Council,other,,other,ok
32014R0228,Commission_implementing,delegated_implementing,,technical_standard,ok
32015D0800,Council,other,,other,ok
32015D2276,Council,other,,other,ok
32017D1937,Council,treaty,,other,ok
32017D1967,Council,other,218.0,other,ok
32017R1111,Commission_implementing,delegated_implementing,,technical_standard,ok
32018R0761,Commission_delegated,delegated_implementing,,technical_standard,ok
32019D0003,Council,other,,other,ok
32019D0797,Council,other,,prohibition,ok
32019L2235,Council,ordinary_legislative,113.0,obligation,ok
32019R0618,Commission_implementing,delegated_implementing,,prohibition,ok
32019R1830,Commission_delegated,delegated_implementing,,technical_standard,ok
32020D0414R(01),Commission_implementing,delegated_implementing,,technical_standard,ok
32020R1228,Commission_implementing,delegated_implementing,,technical_standard,ok
32021D1210,Council,other,,other,ok
32021D1738R(01),Council,other,196.0,obligation,ok
32022D0472R(01),Council,other,,obligation,ok
32022D2408,Council,other,,obligation,ok
32022D2494,Commission_other,delegated_implementing,,technical_standard,ok
32022R0432R(01),Council,delegated_implementing,,obligation,ok
32022R0862,Commission_implementing,delegated_implementing,,prohibition,ok
32022R2360,Commission_delegated,delegated_implementing,,technical_standard,ok
32023D0178,Commission_other,other,,technical_standard,ok
32023D0599,Council,other,,other,ok
32023D0995,Council,other,,obligation,ok
32023D1053,Commission_implementing,delegated_implementing,,technical_standard,ok
32023D1534,Commission_implementing,delegated_implementing,,obligation,ok
32023R0449,Council,delegated_implementing,,prohibition,ok
32023R1617,Commission_implementing,delegated_implementing,,obligation,ok
32023R1650,Commission_delegated,delegated_implementing,,technical_standard,ok
32024D0343,Commission_other,infringement,,obligation,ok
32024D0828,Council,other,,prohibition,ok
32024D2176R(01),Council,other,,obligation,ok
32024D2840,Council,other,,other,ok
32024L1226,EP_Council,ordinary_legislative,83.0,prohibition,ok
32024R0450,Commission_delegated,delegated_implementing,,technical_standard,ok
32024R0482R(02),Commission_implementing,delegated_implementing,,technical_standard,ok
32024R1180,Commission_delegated,delegated_implementing,,technical_standard,ok
32025D0704,Commission_implementing,delegated_implementing,,technical_standard,ok
32025R0021R(01),Commission_delegated,delegated_implementing,,obligation,ok
32025R1106,Council,other,122.0,obligation,ok
31994D0072,Commission_other,other,,obligation,ok
31994D0244,Commission_other,other,,other,ok
31995D0489,Commission_other,infringement,90.0,prohibition,ok
31996L0053,Council,ordinary_legislative,75.0,technical_standard,ok
31996L0053R(03),Council,ordinary_legislative,75.0,technical_standard,ok
31997D0603,Commission_other,infringement,,obligation,ok
31997D0784,Council,treaty,113.0,obligation,ok
31998D0534,Commission_other,other,,technical_standard,ok
31998D0574,Commission_other,other,,technical_standard,ok
31999E0346,Council,other,,other,ok
32000D0354R(02),Council,other,207.0,other,ok
32001D0432,Commission_other,other,,other,ok
32002L0058R(03),EP_Council,ordinary_legislative,95.0,obligation,ok
32005E0329,Council,other,,other,ok
32005L0001,EP_Council,ordinary_legislative,47.0,obligation,ok
32006D0859,Commission_other,delegated_implementing,,obligation,ok
32006R0474R(01),Commission_other,delegated_implementing,,prohibition,ok
32007D0193,Commission_other,other,,prohibition,ok
32008R0331,Commission_other,delegated_implementing,,prohibition,ok
32009D0357,EP_Council,ordinary_legislative,71.0,obligation,ok
32009D0489,Commission_other,other,,technical_standard,ok
32010D0212,Council,other,29.0,other,ok
32010H0167,Commission_other,recommendation,,recommendation,ok
32014R1299R(02),Commission_implementing,delegated_implementing,,technical_standard,ok
32015D1835,Council,other,,other,ok
32015R0020,Commission_implementing,delegated_implementing,,technical_standard,ok
32016D0209,Commission_implementing,delegated_implementing,,technical_standard,ok
32016D0339R(01),Commission_implementing,delegated_implementing,,technical_standard,ok
